Date,Open,High,Low,Close,Adj Close,Volume
2023-10-10,33683.41,33898.22,33604.32,33739.3,33739.3,255650000
2023-10-11,33822.2,33882.55,33612.25,33804.87,33804.87,256560000
2023-10-12,33845.65,33863.8,33455.6,33631.14,33631.14,290360000
2023-10-13,33733.34,33957.72,33551.58,33670.29,33670.29,306340000
2023-10-16,33832.42,34088.98,33832.42,33984.54,33984.54,272990000
2023-10-17,33869.84,34147.63,33854.7,33997.65,33997.65,281010000
2023-10-18,33960.25,33991.51,33598.64,33665.08,33665.08,286700000
2023-10-19,33669.52,33852.39,33368.58,33414.17,33414.17,307060000
2023-10-20,33365.27,33425.77,33118.12,33127.28,33127.28,330150000
2023-10-23,32993.02,33234.85,32892.19,32936.41,32936.41,345440000
2023-10-24,33089.64,33272.19,32988.43,33141.38,33141.38,359230000
2023-10-25,33203.53,33267.91,32989.72,33035.93,33035.93,355690000
2023-10-26,33017.17,33105.03,32743.99,32784.3,32784.3,379880000
2023-10-27,32782.4,32787.56,32327.2,32417.59,32417.59,376980000
2023-10-30,32537.54,33002.97,32537.54,32928.96,32928.96,300240000
2023-10-31,33029.11,33070.28,32787.12,33052.87,33052.87,310020000
2023-11-01,33081.87,33337.15,33010.85,33274.58,33274.58,307570000
2023-11-02,33457.82,33852.96,33450.03,33839.08,33839.08,311130000
2023-11-03,33988.83,34163.63,33946.6,34061.32,34061.32,311000000
2023-11-06,34092.61,34167.26,33989.72,34095.86,34095.86,267350000
2023-11-07,34075.65,34206.98,34026.72,34152.6,34152.6,285180000
2023-11-08,34185.92,34252.75,33996.2,34112.27,34112.27,280330000
2023-11-09,34163.71,34167.54,33859.77,33891.94,33891.94,332640000
2023-11-10,34020.82,34310.36,33905.62,34283.1,34283.1,302470000
2023-11-13,34259.25,34405.84,34205.81,34337.87,34337.87,248500000
2023-11-14,34581.2,34931.01,34581.2,34827.7,34827.7,331240000
2023-11-15,34906.72,35051.1,34868.48,34991.21,34991.21,347800000
2023-11-16,34868.03,35022.46,34818.03,34945.47,34945.47,436840000
2023-11-17,34964.82,35028.22,34882.82,34947.28,34947.28,343390000
2023-11-20,34932.49,35227.48,34907.98,35151.04,35151.04,339640000
2023-11-21,35104.84,35118.04,35038.44,35088.29,35088.29,271120000
2023-11-22,35189.33,35315.2,35155.8,35273.03,35273.03,237300000
2023-11-24,35299.9,35399.44,35299.9,35390.15,35390.15,117040000
2023-11-27,35376.44,35410.37,35280.57,35333.47,35333.47,258350000
2023-11-28,35332.13,35518.67,35307.73,35416.98,35416.98,263100000
2023-11-29,35436.8,35579.13,35405.89,35430.42,35430.42,299340000
2023-11-30,35596.57,35970.7,35592.22,35950.89,35950.89,435550000
2023-12-01,35914.45,36264.85,35914.45,36245.5,36245.5,321840000
2023-12-04,36089.38,36238.18,36029.69,36204.44,36204.44,330580000
